Date,open,high,low,Close,Volume,Average
2020-03-16 16:00:00,138.02,138.28,135.09,135.42,4498739,136.7025
2020-03-16 15:55:00,139.56,139.665,138,138.005,3046275,138.8075
2020-03-16 15:50:00,142.13,142.2,139.51,139.61,1370693,140.8625
2020-03-16 15:45:00,139.29,142.14,138.935,142.14,1495447,140.62625
2020-03-16 15:40:00,140.36,140.46,139,139.3,1152823,139.78
2020-03-16 15:35:00,141.125,141.15,139.75,140.35,1434272,140.59375
2020-03-16 15:30:00,142.285,143.03,141.01,141.145,693866,141.8675
2020-03-16 15:25:00,142.2601,142.67,141.55,142.339,736737,142.204775
2020-03-16 15:20:00,141.318,143,141.21,142.28,569508,141.952
2020-03-16 15:15:00,142.06,142.409,141.335,141.335,530522,141.78475
2020-03-16 15:10:00,142.86,143.57,142,142.025,588297,142.61375
2020-03-16 15:05:00,142.8908,143.81,142.63,142.91,729453,143.0602
2020-03-16 15:00:00,141.97,143.551,141.62,142.9,776249,142.51025
2020-03-16 14:55:00,141.2,142.04,140.63,141.94,677144,141.4525
2020-03-16 14:50:00,141.5409,143.8238,139.4334,141.2424,577512,141.510125
2020-03-16 14:45:00,142.3799,142.3799,140.86,141.5149,534746,141.783675
2020-03-16 14:40:00,143.67,144.48,142.17,142.35,851955,143.1675
2020-03-16 14:35:00,141.555,144,141.09,143.74,1005650,142.59625
2020-03-16 14:30:00,140.01,141.63,140,141.56,656408,140.8
2020-03-16 14:25:00,140.105,140.34,140,140,595913,140.11125
2020-03-16 14:20:00,140.78,140.865,140.11,140.11,531249,140.46625
2020-03-16 14:15:00,140.3,140.84,140.25,140.8,410308,140.5475
2020-03-16 14:10:00,140.625,141.36,140.28,140.31,460711,140.64375
2020-03-16 14:05:00,140.76,141.2,140.25,140.64,533865,140.7125
2020-03-16 14:00:00,140.3396,141.55,140.31,140.78,500243,140.7449
2020-03-16 13:55:00,140.62,140.63,140.35,140.35,499539,140.4875
2020-03-16 13:50:00,140.76,141.09,140.56,140.62,545568,140.7575
2020-03-16 13:45:00,141.3334,141.3334,140.5,140.77,500185,140.9842
2020-03-16 13:40:00,141.5642,141.71,141.03,141.325,601330,141.4073
2020-03-16 13:35:00,142.3671,142.4,141.21,141.54,582716,141.879275
2020-03-16 13:30:00,143.105,143.13,142.2194,142.36,465742,142.7036
2020-03-16 13:25:00,142.59,143.31,142.1,143.13,351772,142.7825
2020-03-16 13:20:00,143.16,143.25,142.278,142.588,447066,142.819
2020-03-16 13:15:00,141.86,143.69,141.55,143.1116,674910,142.5529
2020-03-16 13:10:00,142.63,142.68,141.31,141.8,650314,142.105
2020-03-16 13:05:00,142.5,143.15,142.33,142.625,474222,142.65125
2020-03-16 13:00:00,143.215,143.4,142.455,142.51,555548,142.895
2020-03-16 12:55:00,144.38,144.3936,143.101,143.21,433565,143.77115
2020-03-16 12:50:00,145.17,145.47,144.215,144.34,288484,144.79875
2020-03-16 12:45:00,145.2,145.425,144.84,145.21,400525,145.16875
2020-03-16 12:40:00,144.86,145.97,144.67,145.2,523878,145.175
2020-03-16 12:35:00,144.28,145.07,144.0301,144.845,416108,144.556275
2020-03-16 12:30:00,144.2,145.045,143.99,144.27,764140,144.37625
2020-03-16 12:25:00,143.56,144.06,143.52,143.99,407338,143.7825
2020-03-16 12:20:00,145.1,145.24,143.56,143.56,581547,144.365
2020-03-16 12:15:00,145.5,145.7,144.89,145.0326,509599,145.28065
2020-03-16 12:10:00,146.47,146.47,145,145.52,546266,145.865
2020-03-16 12:05:00,146.01,146.5,145.78,146.5,588410,146.1975
2020-03-16 12:00:00,145.39,146.22,145.09,146.08,617210,145.695
2020-03-16 11:55:00,145.7325,146.1665,145.0001,145.39,452777,145.572275
2020-03-16 11:50:00,146.3,146.35,145.1,145.7,599391,145.8625
2020-03-16 11:45:00,147.04,147.35,146.3,146.3,688559,146.7475
2020-03-16 11:40:00,145.595,147.55,145.3908,147.0661,563167,146.400475
2020-03-16 11:35:00,147.98,148.34,145.4801,145.64,703138,146.860025
2020-03-16 11:30:00,148.98,148.99,147.5,147.95,733331,148.355
2020-03-16 11:25:00,148.85,149.035,148.27,148.98,869769,148.78375
2020-03-16 11:20:00,147.69,148.886,147.53,148.8857,1130805,148.247925
2020-03-16 11:15:00,147.2,147.79,147.05,147.28,705425,147.33
2020-03-16 11:10:00,146.22,147.184,146.055,147.1836,681666,146.66065
2020-03-16 11:05:00,145.53,147.19,145.43,146.23,592557,146.095
2020-03-16 11:00:00,146.16,146.42,145.64,145.65,762958,145.9675
2020-03-16 10:55:00,146.19,146.56,145.27,145.86,669270,145.97
2020-03-16 10:50:00,146.03,147.43,145.92,146.171,831327,146.38775
2020-03-16 10:45:00,147.72,147.75,145.77,146.1584,927716,146.8496
2020-03-16 10:40:00,146.3733,147.7699,145.55,147.72,1129747,146.8533
2020-03-16 10:35:00,143.69,146.4,143.5842,146.3681,1037655,145.010575
2020-03-16 10:30:00,143.684,144.99,143,143.6993,1048543,143.843325
2020-03-16 10:25:00,142.51,143.73,142.471,143.73,869534,143.11025
2020-03-16 10:20:00,142.91,143.005,142.14,142.52,926848,142.64375
2020-03-16 10:15:00,143.3099,143.84,142.94,142.94,1024256,143.257475
2020-03-16 10:10:00,141.71,143.31,141.6,143.31,1136101,142.4825
2020-03-16 10:05:00,142.51,143.58,141.25,141.64,1210808,142.245
2020-03-16 10:00:00,143.66,144.07,142.34,142.53,1664583,143.15
2020-03-16 09:55:00,138.51,143.75,138.4,143.6565,2204711,141.079125
2020-03-16 09:50:00,138.15,139.395,137.96,138.52,3928558,138.50625
2020-03-16 09:35:00,140,140.82,139.7,140.02,1096470,140.135
2020-03-13 16:00:00,154.7,158.95,153.89,158.86,6226122,156.6
2020-03-13 15:55:00,149.51,154.69,149.51,154.69,2955835,152.1
2020-03-13 15:50:00,148.12,149.59,148.06,149.53,1670354,148.825
2020-03-13 15:45:00,145.94,148.14,145.9,148.14,1349093,147.03
2020-03-13 15:40:00,143.22,146.5,142.71,145.96,962893,144.5975
2020-03-13 15:35:00,145.7037,145.886,142.45,143.2483,1154725,144.322
2020-03-13 15:30:00,146.0688,146.13,145.625,145.75,609291,145.89345
2020-03-13 15:25:00,145.715,146.06,145.56,146.06,580167,145.84875
2020-03-13 15:20:00,145.27,145.9,144.73,145.72,492022,145.405
2020-03-13 15:15:00,145.4501,145.61,144.32,145.3024,1061968,145.170625
2020-03-13 15:10:00,144.89,145.33,144.889,145.33,42039,145.10975
2020-03-13 15:05:00,144.64,146.1,144.38,144.8788,717191,144.9997
2020-03-13 15:00:00,144.7,144.815,144.6,144.71,492642,144.70625
2020-03-13 14:55:00,144.5836,144.925,144.46,144.729,494666,144.6744
2020-03-13 14:50:00,144.96,145.13,144.473,144.59,463891,144.78825
2020-03-13 14:45:00,143.42,145.16,143.1,144.96,617956,144.16
2020-03-13 14:40:00,144.52,144.84,143.4,143.4202,476629,144.04505
2020-03-13 14:35:00,144.17,144.53,143.84,144.53,517383,144.2675
2020-03-13 14:30:00,145.415,145.4399,144.08,144.18,394967,144.778725
2020-03-13 14:25:00,144.99,145.67,144.42,145.44,404752,145.13
2020-03-13 14:20:00,145.17,145.79,144.73,144.9699,550920,145.164975
2020-03-13 14:15:00,145.06,145.72,144.76,145.1728,486549,145.1782
2020-03-13 14:10:00,145.9299,146.27,144.04,145.12,586374,145.339975
2020-03-13 14:05:00,146.6269,146.6535,145.25,145.91,509662,146.1101
